Symbol,Nifty 50,Nifty Next 50,Nifty 500,Nifty 750,Nifty Midcap 150,Nifty smallcap 250
COALINDIA,,,COCHINSHIP,BLUESTARCO,POLYCAB,IEX
COCHINSHIP,,,COFORGE,BBTC,PREMIERENE,IOB
COFORGE,,,COHANCE,BOMDYEING,PRESTIGE,INOXWIND
COLPAL,,,COLPAL,BOROLTD,RVNL,INTELLECT
CAMS,,,CAMS,BORORENEW,SBICARD,IGIL
CONCORDBIO,,,CONCORDBIO,BOSCHLTD,SJVN,IKS
CONCOR,,,CONCOR,FIRSTCRY,SRF,JBCHEPHARM
COROMANDEL,,,COROMANDEL,BRIGADE,SCHAEFFLER,JBMA
CRAFTSMAN,,,CRAFTSMAN,BRITANNIA,SOLARINDS,JKTYRE
CREDITACC,,,CREDITACC,MAPMYINDIA,SONACOMS,JMFINANCIL
CROMPTON,,,CROMPTON,CCL,STARHEALTH,JSWHL
CUMMINSIND,,,CUMMINSIND,CESC,SAIL,JPPOWER
CYIENT,,,CYIENT,CGPOWER,SUNTV,J&KBANK
DLF,,,DCMSHRIRAM,CIEINDIA,SUNDARMFIN,JINDALSAW
DOMS,,,DLF,CMSINFO,SUPREMEIND,JUBLINGREA
DABUR,,,DOMS,CRISIL,SUZLON,JUBLPHARMA
DALBHARAT,,,DABUR,CSBBANK,SYNGENE,JWL
DATAPATTNS,,,DALBHARAT,CAMPUS,TATACOMM,JUSTDIAL
DEEPAKFERT,,,DATAPATTNS,CANFINHOME,TATAELXSI,JYOTHYLAB
DEEPAKNTR,,,DEEPAKFERT,CANBK,TATAINVEST,JYOTICNC
DELHIVERY,,,DEEPAKNTR,CAPLIPOINT,TATATECH,KNRCON
DEVYANI,,,DELHIVERY,CGCL,NIACL,KAJARIACER
DIVISLAB,,,DEVYANI,CARBORUNIV,THERMAX,KPIL
DIXON,,,DIVISLAB,CARTRADE,TORNTPOWER,KANSAINER
LALPATHLAB,,,DIXON,CASTROLIND,TIINDIA,KARURVYSYA
DRREDDY,,,LALPATHLAB,CEATLTD,UNOMINDA,KAYNES
EIDPARRY,,,DRREDDY,CEIGALL,UPL,KEC
EIHOTEL,,,DUMMYDBRLT,CELLO,UNIONBANK,KFINTECH
EASEMYTRIP,,,EIDPARRY,CENTRALBK,UBL,KIRLOSBROS
EICHERMOT,,,EIHOTEL,CDSL,VMM,KIRLOSENG
ELECON,,,EICHERMOT,CENTURYPLY,IDEA,KIMS
ELGIEQUIP,,,ELECON,CERA,VOLTAS,LTFOODS
EMAMILTD,,,ELGIEQUIP,CHALET,WAAREEENER,LATENTVIEW
EMCURE,,,EMAMILTD,CHAMBLFERT,YESBANK,LAURUSLABS
ENDURANCE,,,EMCURE,CHEMPLASTS,,LEMONTREE
ENGINERSIN,,,ENDURANCE,CHENNPETRO,,MMTC
EQUITASBNK,,,ENGINERSIN,CHOICEIN,,MGL
ERIS,,,ERIS,CHOLAHLDNG,,MAHSEAMLES
ESCORTS,,,ESCORTS,CHOLAFIN,,MANAPPURAM
EXIDEIND,,,ETERNAL,CIGNITITEC,,MASTEK
NYKAA,,,EXIDEIND,CIPLA,,METROPOLIS
FEDERALBNK,,,NYKAA,CUB,,MINDACORP
FACT,,,FEDERALBNK,CLEAN,,MCX
FINEORG,,,FACT,COALINDIA,,NATCOPHARM
FINCABLES,,,FINCABLES,COCHINSHIP,,NBCC
FINPIPE,,,FINPIPE,COFORGE,,NCC
FSL,,,FSL,COHANCE,,NSLNISP
FIVESTAR,,,FIVESTAR,COLPAL,,NH
FORTIS,,,FORTIS,CAMS,,NAVA
GRINFRA,,,GAIL,CONCORDBIO,,NAVINFLUOR
GAIL,,,GVT&D,CONCOR,,NETWEB
GVT&D,,,GMRAIRPORT,COROMANDEL,,NETWORK18
GMRAIRPORT,,,GRSE,CRAFTSMAN,,NEULANDLAB
GRSE,,,GICRE,CREDITACC,,NEWGEN
GICRE,,,GILLETTE,CROMPTON,,NIVABUPA
GILLETTE,,,GLAND,CUMMINSIND,,NUVAMA
GLAND,,,GLAXO,CYIENTDLM,,OLECTRA
GLAXO,,,GLENMARK,CYIENT,,PCBL
GLENMARK,,,MEDANTA,DCBBANK,,PGEL
MEDANTA,,,GODIGIT,DCMSHRIRAM,,PNBHOUSING
GODIGIT,,,GPIL,DCXINDIA,,PNCINFRA
GPIL,,,GODFRYPHLP,DLF,,PTCIL
GODFRYPHLP,,,GODREJAGRO,DOMS,,PVRINOX
GODREJAGRO,,,GODREJCP,DABUR,,PFIZER
GODREJCP,,,GODREJIND,DALBHARAT,,PEL
GODREJIND,,,GODREJPROP,DATAPATTNS,,PPLPHARMA
GODREJPROP,,,GRANULES,DATAMATICS,,POLYMED
GRANULES,,,GRAPHITE,DEEPAKFERT,,POONAWALLA
